OBJECTID *,Shape *,id,მუნიციპალიტეტი_ka,მუნიციპალიტეტი_en,რეგიონი,მუნიციპალიტეტი_ფართობი_კვმ,მუნიციპალიტეტი_ფართობი_ჰა,საპატრიარქოს_მიწები_კვმ,საპატრიარქოს_მიწები_ჰა,საპატრიარქოს_მიწები_თანაფარდობა_პროც,მიწის_ტიპი_სასოფლო_კვმ,მიწის_ტიპი_სასოფლო_ჰა,მიწის_ტიპი_არასასოფლო_კვმ,მიწის_ტიპი_არასასოფლო_ჰა,მიწის_ტიპი_ტყე_კვმ,მიწის_ტიპი_ტყე_ჰა,გადაცემის_ფორმა_გაცვლით_კვმ,გადაცემის_ფორმა_გაცვლით_ჰა,გადაცემის_ფორმა_დროებით_კვმ,გადაცემის_ფორმა_დროებით_ჰა,გადაცემის_ფორმა_შესყიდვა_კვმ,გადაცემის_ფორმა_შესყიდვა_ჰა,გადაცემის_ფორმა_კონსტიტუციით_კვმ,გადაცემის_ფორმა_კონსტიტუციით_ჰა,გადაცემის_ფორმა_საბაზრო_კვმ,გადაცემის_ფორმა_საბაზრო_ჰა,გადაცემის_ფორმა_სიმბოლური_კვმ,გადაცემის_ფორმა_სიმბოლური_ჰა,გადაცემის_ფორმა_უსასყიდლოდ_კვმ,გადაცემის_ფორმა_უსასყიდლოდ_ჰა,გადაცემის_ფორმა_უცნობი_კვმ,გადაცემის_ფორმა_უცნობი_ჰა,გადაცემის_ფორმა_შეწირულება_კვმ,გადაცემის_ფორმა_შეწირულება_ჰა,კლასი_საპ_მიწები,კლასი_თანაფარდობა,კლასი_სასოფლო,კლასი_არასასოფლო,კლასი_ტყე,კლასი_გაცვლით,კლასი_დროებით,კლასი_შესყიდვა,კლასი_კონსტიტუციით,კლასი_საბაზრო,კლასი_სიმბოლური,კლასი_უსასყიდლოდ,კლასი_უცნობი,კლასი_შეწირულება,ტექსტი_მუნიც_ფართობი,ტექსტი_საპ_მიწები,ტექსტი_თანაფარდობა,ტექსტი_სასოფლო,ტექსტი_არასასოფლო,ტექსტი_ტყე,ტექსტი_გაცვლით,ტექსტი_დროებით,ტექსტი_შესყიდვა,ტექსტი_კონსტიტუციით,ტექსტი_საბაზრო,ტექსტი_სიმბოლური,ტექსტი_უსასყიდლოდ,ტექსტი_უცნობი,ტექსტი_შეწირულება
61,Polygon M,61,ახალქალაქი,Akhalkalaki,სამცხე-ჯავახეთი,1235834942,123583.4942,43272,4.3272,0.003501,0,0,43272,4.3272,0,0,2851,0.2851,2207,0.2207,0,0,37566,3.7566,0,0,648,0.0648,0,0,0,0,0,0,2,1,0,2,0,3,1,0,2,0,1,0,0.00,0,"123,583.49",4.33,< 0.01,0,4.33,0,0.29,0.22,0,3.76,0,0.06,0,0,0
62,Polygon M,62,ბორჯომი,Borjomi,სამცხე-ჯავახეთი,1203528794,120352.8794,853408,85.3408,0.070909,19918,1.9918,67490,6.749,766000,76.6,0,0,766000,76.6,0,0,49409,4.9409,0,0,32095,3.2095,0,0,0,0,5904,0.5904,5,3,2,3,5,0,5,0,2,0,3,0,0.00,2,"120,352.88",85.34,0.07,1.99,6.75,76.6,0,76.6,0,4.94,0,3.21,0,0,0.59
63,Polygon M,63,ნინოწმინდა,Ninotsminda,სამცხე-ჯავახეთი,1383003444,138300.3444,257745,25.7745,0.018637,230824,23.0824,26921,2.6921,0,0,0,0,5657,0.5657,0,0,9063,0.9063,0,0,12201,1.2201,0,0,0,0,230824,23.0824,4,2,3,2,0,0,1,0,1,0,3,0,0.00,5.00,"138,300.34",25.77,0.02,23.08,2.69,0,0,0.57,0,0.91,0.00,1.22,0,0,23.08
64,Polygon M,64,ქ. ზუგდიდი,C. Zugdidi,სამეგრელო-ზემო სვანეთი,21441253.96,2144.125396,15022,1.5022,0.070061,0,0,15022,1.5022,0,0,0,0,0,0,0,0,0,0,0,0,15022,1.5022,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,3,0,0.00,0,"2,144.13",1.5,0.07,0,1.5,0,0,0,0,0,0,1.5,0,0,0
65,Polygon M,65,ქ. ოზურგეთი,C. Ozurgeti,გურია,22492388.99,2249.238899,401,0.0401,0.001783,401,0.0401,0,0,0,0,0,0,0,0,401,0.0401,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0.00,0,"2,249.24",0.04,< 0.01,0.04,0,0,0,0,0.04,0,0,0,0,0,0
66,Polygon M,66,ქ. ახალციხე,C. Akhaltsikhe,სამცხე-ჯავახეთი,18569154.18,1856.915418,3297,0.3297,0.017755,0,0,3297,0.3297,0,0,0,0,3297,0.3297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0.00,0,"1,856.92",0.33,0.02,0,0.33,0,0,0.33,0,0,0,0,0,0,0
67,Polygon M,67,ქ. მცხეთა,C. Mtskheta,მცხეთა-მთიანეთი,37868183.63,3786.818363,52428,5.2428,0.138449,0,0,52428,5.2428,0,0,0,0,0,0,0,0,43009,4.3009,0,0,7787,0.7787,1632,0.1632,0,0,0,0,3,4,0,3,0,0,0,0,2,0,2,1,0.00,0,"3,786.82",5.24,0.14,0,5.24,0,0,0,0,4.3,0,0.78,0.16,0,0
68,Polygon M,68,ქ. გორი,C. Gori,შიდა ქართლი,18640277.09,1864.027709,5405,0.5405,0.028996,413,0.0413,4992,0.4992,0,0,0,0,0,0,0,0,4992,0.4992,0,0,0,0,0,0,0,0,413,0.0413,1,2,1,1,0,0,0,0,1,0,0,0,0.00,1,"1,864.03",0.54,0.03,0.04,0.5,0,0,0,0,0.5,0,0,0,0,0.04
69,Polygon M,69,სამტრედია,"Samtredia
",იმერეთი,373005856.1,37300.58561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,"37,300.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Polygon M,70,ქ. თელავი,C. Telavi,კახეთი,11991756.67,1199.175667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,"1,199.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Polygon M,71,ქ. ამბროლაური,C. Ambrolauri,რაჭა-ლეჩხუმი და ქვემო სვანეთი,3398641.03,339.864103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,339.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
