OBJECTID *,Shape *,id,მუნიციპალიტეტი_ka,მუნიციპალიტეტი_en,რეგიონი,მუნიციპალიტეტი_ფართობი_კვმ,მუნიციპალიტეტი_ფართობი_ჰა,საპატრიარქოს_მიწები_კვმ,საპატრიარქოს_მიწები_ჰა,საპატრიარქოს_მიწები_თანაფარდობა_პროც,მიწის_ტიპი_სასოფლო_კვმ,მიწის_ტიპი_სასოფლო_ჰა,მიწის_ტიპი_არასასოფლო_კვმ,მიწის_ტიპი_არასასოფლო_ჰა,მიწის_ტიპი_ტყე_კვმ,მიწის_ტიპი_ტყე_ჰა,გადაცემის_ფორმა_გაცვლით_კვმ,გადაცემის_ფორმა_გაცვლით_ჰა,გადაცემის_ფორმა_დროებით_კვმ,გადაცემის_ფორმა_დროებით_ჰა,გადაცემის_ფორმა_შესყიდვა_კვმ,გადაცემის_ფორმა_შესყიდვა_ჰა,გადაცემის_ფორმა_კონსტიტუციით_კვმ,გადაცემის_ფორმა_კონსტიტუციით_ჰა,გადაცემის_ფორმა_საბაზრო_კვმ,გადაცემის_ფორმა_საბაზრო_ჰა,გადაცემის_ფორმა_სიმბოლური_კვმ,გადაცემის_ფორმა_სიმბოლური_ჰა,გადაცემის_ფორმა_უსასყიდლოდ_კვმ,გადაცემის_ფორმა_უსასყიდლოდ_ჰა,გადაცემის_ფორმა_უცნობი_კვმ,გადაცემის_ფორმა_უცნობი_ჰა,გადაცემის_ფორმა_შეწირულება_კვმ,გადაცემის_ფორმა_შეწირულება_ჰა,კლასი_საპ_მიწები,კლასი_თანაფარდობა,კლასი_სასოფლო,კლასი_არასასოფლო,კლასი_ტყე,კლასი_გაცვლით,კლასი_დროებით,კლასი_შესყიდვა,კლასი_კონსტიტუციით,კლასი_საბაზრო,კლასი_სიმბოლური,კლასი_უსასყიდლოდ,კლასი_უცნობი,კლასი_შეწირულება,ტექსტი_მუნიც_ფართობი,ტექსტი_საპ_მიწები,ტექსტი_თანაფარდობა,ტექსტი_სასოფლო,ტექსტი_არასასოფლო,ტექსტი_ტყე,ტექსტი_გაცვლით,ტექსტი_დროებით,ტექსტი_შესყიდვა,ტექსტი_კონსტიტუციით,ტექსტი_საბაზრო,ტექსტი_სიმბოლური,ტექსტი_უსასყიდლოდ,ტექსტი_უცნობი,ტექსტი_შეწირულება
29,Polygon M,29,დუშეთი,Dusheti,მცხეთა-მთიანეთი,3013846810,301384.681,103096,10.3096,0.003421,19946,1.9946,83150,8.315,0,0,0,0,0,0,0,0,72796,7.2796,0,0,7874,0.7874,502,0.0502,0,0,21924,2.1924,4,1,2,3,0,0,0,0,3,0,2,1,0.00,3,"301,384.68",10.31,< 0.01,1.99,8.32,0,0,0,0,7.28,0,0.79,0.05,0,2.19
30,Polygon M,30,თიანეთი,Tianeti,მცხეთა-მთიანეთი,938296755.1,93829.67551,47215,4.7215,0.005032,1241,0.1241,45974,4.5974,0,0,0,0,0,0,0,0,42516,4.2516,0,0,4699,0.4699,0,0,0,0,0,0,2,2,1,2,0,0,0,0,2,0,1,0,0.00,0,"93,829.68",4.72,0.01,0.12,4.6,0,0,0,0,4.25,0,0.47,0,0,0
31,Polygon M,31,ყაზბეგი,Kazbegi,მცხეთა-მთიანეთი,1066477718,106647.7718,647885,64.7885,0.06075,44606,4.4606,125279,12.5279,478000,47.8,0,0,488006,48.8006,18090,1.809,0,0,0,0,106160,10.616,0,0,0,0,35629,3.5629,5,3,2,4,4,0,4,3,0,0,5,0,0.00,3,"106,647.77",64.79,0.06,4.46,12.53,47.8,0,48.8,1.81,0,0,10.62,0,0,3.56
32,Polygon M,32,ამბროლაური,Ambrolauri,რაჭა-ლეჩხუმი და ქვემო სვანეთი,1121129035,112112.9035,43957,4.3957,0.003921,4798,0.4798,39159,3.9159,0,0,0,0,0,0,0,0,39974,3.9974,0,0,0,0,0,0,0,0,3983,0.3983,2,1,1,2,0,0,0,0,2,0,0,0,0.00,1,"112,112.90",4.4,< 0.01,0.48,3.92,0,0,0,0,4,0,0,0,0,0.4
33,Polygon M,33,ცაგერი,Tsageri,რაჭა-ლეჩხუმი და ქვემო სვანეთი,747767959.3,74776.79593,13258,1.3258,0.001773,2561,0.2561,10697,1.0697,0,0,0,0,0,0,0,0,1911,0.1911,0,0,0,0,4972,0.4972,0,0,6375,0.6375,2,1,1,2,0,0,0,0,1,0,0,1,0.00,2,"74,776.80",1.33,< 0.01,0.26,1.07,0,0,0,0,0.19,0,0,0.5,0,0.64
34,Polygon M,34,ლენტეხი,Lentekhi,რაჭა-ლეჩხუმი და ქვემო სვანეთი,1442857804,144285.7804,18831,1.8831,0.001305,0,0,18831,1.8831,0,0,0,0,0,0,0,0,0,0,0,0,18000,1.8,0,0,0,0,831,0.0831,2,1,0,2,0,0,0,0,0,0,3,0,0.00,1,"144,285.78",1.88,< 0.01,0,1.88,0,0,0,0,0,0,1.8,0,0,0.08
35,Polygon M,35,ონი,Oni,რაჭა-ლეჩხუმი და ქვემო სვანეთი,1362517407,136251.7407,2521,0.2521,0.000185,1913,0.1913,608,0.0608,0,0,0,0,0,0,0,0,0,0,0,0,608,0.0608,0,0,0,0,1913,0.1913,1,1,1,1,0,0,0,0,0,0,1,0,0.00,1,"136,251.74",0.25,< 0.01,0.19,0.06,0,0,0,0,0,0,0.06,0,0,0.19
36,Polygon M,36,ახმეტა,Akhmeta,კახეთი,2242530061,224253.0061,2999044,299.9044,0.133735,356906,35.6906,52138,5.2138,2590000,259,0,0,2590000,259,0,0,10205,1.0205,0,0,105646,10.5646,42063,4.2063,0,0,251130,25.113,6,4,3,3,6,0,6,0,2,0,5,2,0.00,5,"224,253.01",299.9,0.13,35.69,5.21,259,0,259,0,1.02,0,10.56,4.21,0,25.11
37,Polygon M,37,დედოფლისწყარო,Dedophlistskaro,კახეთი,2519521127,251952.1127,4644220,464.422,0.184329,0,0,9220,0.922,4635000,463.5,0,0,4635000,463.5,0,0,6860,0.686,0,0,0,0,2360,0.236,0,0,0,0,6,4,0,1,6,0,6,0,1,0,0,1,0.00,0,"251,952.11",464.42,0.18,0,0.92,463.5,0,463.5,0,0.69,0,0,0.24,0,0
38,Polygon M,38,გურჯაანი,Gurjaani,კახეთი,885414620.9,88541.4621,997898,99.7898,0.112704,531712,53.1712,53186,5.3186,413000,41.3,0,0,413836,41.3836,500000,50,52232,5.2232,0,0,326,0.0326,1676,0.1676,0,0,29828,2.9828,5,4,4,3,4,0,4,4,3,0,1,1,0.00,3,"88,541.46",99.79,0.11,53.17,5.32,41.3,0,41.38,50,5.22,0,0.03,0.17,0,2.98
39,Polygon M,39,ლაგოდეხი,Lagodekhi,კახეთი,877233069,87723.3069,248827,24.8827,0.028365,43832,4.3832,114995,11.4995,90000,9,0,0,90000,9,0,0,113584,11.3584,0,0,0,0,39865,3.9865,0,0,5378,0.5378,4,2,2,4,3,0,3,0,4,0,0,2,0.00,2,"87,723.31",24.88,0.03,4.38,11.5,9,0,9,0,11.36,0,0,3.99,0,0.54
40,Polygon M,40,საგარეჯო,Sagaredjo,კახეთი,1531236741,153123.6741,122809,12.2809,0.00802,97103,9.7103,25706,2.5706,0,0,0,0,44971,4.4971,0,0,26155,2.6155,0,0,20325,2.0325,30947,3.0947,0,0,411,0.0411,4,2,2,2,0,0,2,0,2,0,3,2,0,1,"153,123.67",12.28,0.01,9.71,2.57,0,0,4.5,0,2.62,0,2.03,3.09,0,0.04
41,Polygon M,41,სიღნაღი,Sighnaghi,კახეთი,1254512603,125451.2603,1315485,131.5485,0.10486,580287,58.0287,49198,4.9198,686000,68.6,0,0,686000,68.6,2020,0.202,42357,4.2357,0,0,3397,0.3397,1650,0.165,0,0,580061,58.0061,6,4,4,2,5,0,5,1,2,0,1,1,0.00,6,"125,451.26",131.55,0.1,58.03,4.92,68.6,0,68.6,0.2,4.24,0,0.34,0.16,0,58.01
42,Polygon M,42,თელავი,Telavi,კახეთი,1115211904,111521.1904,2046184,204.6184,0.183479,16703,1.6703,85481,8.5481,1944000,194.4,0,0,1948443,194.8443,0,0,80182,8.0182,0,0,0,0,856,0.0856,0,0,16703,1.6703,6,4,2,3,6,0,6,0,3,0,0,1,0.00,3,"111,521.19",204.62,0.18,1.67,8.55,194.4,0,194.84,0,8.02,0,0,0.09,0,1.67
43,Polygon M,43,ყვარელი,Kvareli,კახეთი,963247894,96324.7894,4821685,482.1685,0.500565,419047,41.9047,139638,13.9638,4263000,426.3,0,0,4316943,431.6943,8526,0.8526,73187,7.3187,0,0,8311,0.8311,4077,0.4077,0,0,410641,41.0641,6,5,3,4,6,0,6,2,3,0,2,1,0.00,5,"96,324.79",482.17,0.5,41.9,13.96,426.3,0,431.69,0.85,7.32,0,0.83,0.41,0,41.06
44,Polygon M,44,ქ. ქუთაისი,C. Kutaisi,იმერეთი,56928706.5,5692.87065,40254.08,4.025408,0.07071,0,0,36254.08,3.625408,4000,0.4,0,0,4000,0.4,0,0,7723,0.7723,0,0,3233.08,0.323308,18993,1.8993,0,0,6305,0.6305,2,3,0,2,1,0,1,0,1,0,1,2,0.00,2,"5,692.87",4.03,0.07,0,3.63,0.4,0,0.4,0,0.77,0,0.32,1.9,0,0.63
45,Polygon M,45,ბაღდათი,Baghdati,იმერეთი,865433047.2,86543.30472,20910,2.091,0.002416,9668,0.9668,11242,1.1242,0,0,0,0,0,0,0,0,8510,0.851,0,0,2732,0.2732,0,0,0,0,9668,0.9668,2,1,1,2,0,0,0,0,1,0,1,0,0.00,2,"86,543.30",2.09,< 0.01,0.97,1.12,0,0,0,0,0.85,0,0.27,0,0,0.97
46,Polygon M,46,ვანი,Vani,იმერეთი,546978066,54697.8066,1000,0.1,0.000183,0,0,1000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0.1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0.00,0,"54,697.81",0.1,< 0.01,0,0.1,0,0,0,0,0,0,0,0.1,0,0
47,Polygon M,47,ხონი,Khoni,იმერეთი,397624658.6,39762.46586,701,0.0701,0.000176,0,0,701,0.0701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0.0701,1,1,0,1,0,0,0,0,0,0,0,0,0.00,1,"39,762.47",0.07,< 0.01,0,0.07,0,0,0,0,0,0,0,0,0,0.07
48,Polygon M,48,წყალტუბო,Tskaltubo,იმერეთი,692686268,69268.6268,82605,8.2605,0.011925,29494,2.9494,20111,2.0111,33000,3.3,0,0,33000,3.3,0,0,14587,1.4587,150,0.015,4815,0.4815,20703,2.0703,0,0,9350,0.935,3,2,2,2,2,0,2,0,2,1,1,2,0.00,2,"69,268.63",8.26,0.01,2.95,2.01,3.3,0,3.3,0,1.46,0.02,0.48,2.07,0,0.94
49,Polygon M,49,ტყიბული,Tkibuli,იმერეთი,488308477.8,48830.84778,6553,0.6553,0.001342,1501,0.1501,5052,0.5052,0,0,0,0,0,0,0,0,5052,0.5052,0,0,0,0,0,0,0,0,1501,0.1501,1,1,1,1,0,0,0,0,1,0,0,0,0.00,1,"48,830.85",0.66,< 0.01,0.15,0.51,0,0,0,0,0.51,0,0,0,0,0.15
50,Polygon M,50,თერჯოლა,Terjola,იმერეთი,357587571,35758.7571,6771,0.6771,0.001894,5764,0.5764,1007,0.1007,0,0,0,0,0,0,0,0,1007,0.1007,0,0,500,0.05,615,0.0615,0,0,4649,0.4649,1,1,1,1,0,0,0,0,1,0,1,1,0.00,1,"35,758.76",0.68,< 0.01,0.58,0.1,0,0,0,0,0.1,0,0.05,0.06,0,0.46
51,Polygon M,51,ზესტაფონი,Zestaphoni,იმერეთი,403760874.8,40376.08748,543255,54.3255,0.134549,9929,0.9929,516826,51.6826,16500,1.65,0,0,491996,49.1996,0,0,38522,3.8522,0,0,6408,0.6408,0,0,0,0,6329,0.6329,5,4,1,5,2,0,4,0,2,0,2,0,0.00,2,"40,376.09",54.33,0.13,0.99,51.68,1.65,0,49.2,0,3.85,0,0.64,0,0,0.63
52,Polygon M,52,საჩხერე,Sachkhere,იმერეთი,728756987.5,72875.69875,53773,5.3773,0.007379,7279,0.7279,46494,4.6494,0,0,0,0,9926,0.9926,532,0.0532,404,0.0404,0,0,0,0,39604,3.9604,0,0,3307,0.3307,3,2,1,2,0,0,1,1,1,0,0,2,0.00,1,"72,875.70",5.38,0.01,0.73,4.65,0,0,0.99,0.05,0.04,0,0,3.96,0,0.33
53,Polygon M,53,ხარაგაული,Kharagauli,იმერეთი,891820468.5,89182.04686,6200,0.62,0.000695,0,0,6200,0.62,0,0,0,0,0,0,0,0,2000,0.2,0,0,4200,0.42,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0.00,0,"89,182.05",0.62,< 0.01,0,0.62,0,0,0,0,0.2,0,0.42,0,0,0
54,Polygon M,54,ჭიათურა,Chiatura,იმერეთი,555134676.7,55513.46767,319717,31.9717,0.057593,319417,31.9417,300,0.03,0,0,0,0,0,0,0,0,300,0.03,0,0,0,0,1136,0.1136,0,0,318281,31.8281,4,3,3,1,0,0,0,0,1,0,0,1,0.00,5,"55,513.47",31.97,0.06,31.94,0.03,0,0,0,0,0.03,0,0,0.11,0,31.83
55,Polygon M,55,ჩოხატაური,Chokhatauri,გურია,817423452.1,81742.34521,52866,5.2866,0.006467,47704,4.7704,5162,0.5162,0,0,0,0,773,0.0773,5033,0.5033,42436,4.2436,0,0,200,0.02,600,0.06,0,0,3824,0.3824,3,2,2,1,0,0,1,2,2,0,1,1,0.00,1,"81,742.35",5.29,0.01,4.77,0.52,0,0,0.08,0.5,4.24,0,0.02,0.06,0,0.38
56,Polygon M,56,ლანჩხუთი,Lanchkhuti,გურია,552643423.5,55264.34235,354804,35.4804,0.064201,150353,15.0353,204451,20.4451,0,0,0,0,0,0,6200,0.62,198877,19.8877,0,0,2050,0.205,139712,13.9712,0,0,7965,0.7965,4,3,3,4,0,0,0,2,4,0,1,3,0.00,2,"55,264.34",35.48,0.06,15.04,20.45,0,0,0,0.62,19.89,0,0.2,13.97,0,0.8
57,Polygon M,57,ოზურგეთი,Ozurgeti,გურია,657896495.8,65789.64958,290435,29.0435,0.044146,248175,24.8175,42260,4.226,0,0,0,0,15569,1.5569,0,0,43626,4.3626,0,0,0,0,169388,16.9388,0,0,61852,6.1852,4,2,3,2,0,0,2,0,2,0,0,3,0.00,4,"65,789.65",29.04,0.04,24.82,4.23,0,0,1.56,0,4.36,0,0,16.94,0,6.19
58,Polygon M,58,ადიგენი,Adigeni,სამცხე-ჯავახეთი,794250149.8,79425.01498,92228,9.2228,0.011612,14234,1.4234,57994,5.7994,20000,2,0,0,21516,2.1516,0,0,69663,6.9663,0,0,1049,0.1049,0,0,0,0,0,0,3,2,2,3,2,0,2,0,3,0,1,0,0.00,0,"79,425.01",9.22,0.01,1.42,5.8,2,0,2.15,0,6.97,0,0.1,0,0,0
59,Polygon M,59,ასპინძა,Aspindza,სამცხე-ჯავახეთი,852371414.8,85237.14148,423718,42.3718,0.04971,220000,22,203718,20.3718,0,0,0,0,221190,22.119,21700,2.17,180828,18.0828,0,0,0,0,0,0,0,0,0,0,4,3,3,4,0,0,4,3,4,0,0,0,0.00,0,"85,237.14",42.37,0.05,22,20.37,0,0,22.12,2.17,18.08,0,0,0,0,0
60,Polygon M,60,ახალციხე,Akhaltsikhe,სამცხე-ჯავახეთი,964734099,96473.4099,1893866,189.3866,0.19631,1237375,123.7375,156491,15.6491,500000,50,0,0,500000,50,0,0,155891,15.5891,600,0.06,90275,9.0275,1147100,114.71,0,0,0,0,6,4,5,4,5,0,5,0,4,1,4,5,0.00,0,"96,473.41",189.39,0.2,123.74,15.65,50,0,50,0,15.59,0.06,9.03,114.71,0,0
